6527	Wise Blood	tt0080140	1979
6537	Close My Eyes	tt0101595	1991
6547	My Best Friend's Girl	tt0085529	1983
6557	www.vermisst-auf-dem-oktoberfest.de	tt0276632	2001
6567	The Good Fairy	tt0043159	1951
6577	Hadashi no pikunikku	tt0107068	1993
6587	Kapone oi ni naku	tt0089404	1985
6597	A Prayer for the Dying	tt0093771	1987
6607	Loulou	tt0081076	1980
6617	Without a Trace	tt0086593	1983
6627	Bloody Sunday	tt0280491	2002
6637	Blue Thunder	tt0085255	1983
6647	The Sandpiper	tt0448106	2007
6657	Voyage of the Rock Aliens	tt0096402	1984
6667	Foreplay	tt0073006	1975
6677	Under the Olive Tree	tt0042794	1950
6687	Geraldine	tt0047020	1953
6697	Iron Man	tt0043678	1951
6707	Best Men	tt0118702	1997
6717	The Pick-up Artist	tt0093737	1987
6727	Full Moon in Blue Water	tt0095186	1988
6737	The Last of the Secret Agents?	tt0060619	1966
6747	Home, Sweet Homicide	tt0038613	1946
6757	Indiana Jones and the Temple of Doom	tt0087469	1984
6767	Homegrown	tt0119305	1998
6777	High Score	tt0097506	1990
6787	Slam Dance	tt0093986	1987
6797	Desert Blue	tt0126261	1998
6807	Very Annie Mary	tt0188128	2001
6817	Ticks	tt0108339	1993
6827	Just Once More	tt0055840	1962
6837	Kungsleden	tt0058278	1964
6847	The Silence of Dean Maitland	tt0026995	1934
6857	Crook's Tour	tt0031192	1941
6867	Who Killed Van Loon?	tt0040967	1948
6877	A Place of One's Own	tt0037179	1945
6887	The Crimson Circle	tt0027483	1936
6897	45 Fathers	tt0028543	1937
6907	The Invisible Man	tt0024184	1933
6917	Murder in the Fleet	tt0026742	1935
6927	Marriage License?	tt0017123	1926
6937	Indian Territory	tt0042595	1950
6947	Daybreak	tt0039304	1948
6957	Dr. Gillespie's New Assistant	tt0034680	1942
6967	The Importance of Being Earnest	tt0044744	1952
6977	Bait	tt0042220	1950
6987	O-Kay for Sound	tt0029336	1937
6997	Paid	tt0021228	1930
7007	Cleopatra	tt0260516	1970
7017	Camp	tt0173709	1965
7027	Dinah East	tt0190364	1970
7037	The Enforcer	tt0043503	1951
7047	The President's Analyst	tt0062153	1967
7057	The Risk	tt0054244	1960
7067	Atlas	tt0053610	1961
7077	Vida en sombras	tt0040942	1949
7087	The Lafarge Case	tt0028556	1938
7097	The Lady from Shanghai	tt0040525	1947
7107	Laura	tt0037008	1944
7117	Seven Brides for Seven Brothers	tt0047472	1954
7127	The Killing	tt0049406	1956
7137	Shadow on the Wall	tt0042952	1950
7147	All the Fine Young Cannibals	tt0053582	1960
7157	Two and Two Make Six	tt0055559	1962
7167	Play It Again, Sam	tt0069097	1972
6018	Over the Edge	tt0079688	1979
6028	Cold Feet	tt0087070	1983
6038	Girls	tt0080793	1980
6048	Luces de la noche	tt0110404	1998
6058	No Man's Land	tt0093638	1987
6068	Track 29	tt0096294	1988
6078	Blow-Up	tt0060176	1966
6088	She Devils in Chains	tt0075206	1976
6098	Term of Trial	tt0056568	1962
6108	The Giant of Marathon	tt0052604	1959
6118	Smart Money	tt0096123	1986
6128	Interlude	tt0063136	1968
6138	A Time to Revenge	tt0130314	1997
6148	Antony and Cleopatra	tt0068920	1972
6158	The Night Fighters	tt0054120	1960
6168	Time After Time	tt0080025	1979
6178	All the Right Moves	tt0085154	1983
6188	Cry for Me, Billy	tt0068429	1972
6198	Bonnie and Clyde	tt0061418	1967
6208	The Muthers	tt0074941	1976
6218	The Revolutionary	tt0066296	1970
6228	The World's Greatest Athlete	tt0070928	1973
6238	Jungle Street Girls	tt0055034	1960
6248	Me and the Kid	tt0081145	1993
6258	The Russians Are Coming! The Russians Are Coming!	tt0060921	1966
6268	Alphabet City	tt0086877	1984
6278	Under the Rainbow	tt0083254	1981
6288	In Praise of Older Women	tt0077728	1978
6298	The Slugger's Wife	tt0090036	1985
6308	The Gazebo	tt0052837	1959
6318	The Pride of St. Louis	tt0045049	1952
6328	Tuna Clipper	tt0041995	1949
6338	No Way Out	tt0042792	1950
6348	The Kentuckian	tt0048248	1955
